state,city,airport,locid,ownership,hub,role,Current,year5,enplaned,based,Devestimate
GA,Canton,Cherokee County,CNI,PU,,Regional,GA,GA,0,92,"$8,250,000"
GA,Carrollton,West Georgia Regional-O V Gray Field,CTJ,PU,,Regional,GA,GA,6,69,"$2,888,100"
GA,Cartersville,Cartersville,VPC,PU,,Regional,GA,GA,2,138,"$11,854,231"
GA,Cedartown,Polk County Airport- Cornelius Moore Field,4A4,PU,,Local,GA,GA,0,34,"$1,537,895"
GA,Claxton,Claxton-Evans County,CWV,PU,,Basic,GA,GA,0,12,"$4,135,000"
GA,Cochran,Cochran,48A,PU,,Local,GA,GA,0,17,"$4,255,263"
GA,Columbus,Columbus,CSG,PU,N,,P,P,"50,883",136,"$9,962,728"
GA,Cordele,Crisp County-Cordele,CKF,PU,,Local,GA,GA,0,17,"$846,000"
GA,Cornelia,Habersham County,AJR,PU,,Local,GA,GA,0,71,"$17,711,111"
GA,Cuthbert,Lower Chattahoochee Regional,25J,PU,,Unclassified,GA,GA,0,1,$0
GA,Dalton,Dalton Municipal,DNN,PU,,Local,GA,GA,0,40,"$7,600,000"
GA,Dawson,Dawson Municipal,16J,PU,,Local,GA,GA,0,30,"$2,709,474"
GA,Donalsonville,Donalsonville Municipal,17J,PU,,Basic,GA,GA,0,13,"$3,904,737"
GA,Douglas,Douglas Municipal,DQH,PU,,Local,GA,GA,0,31,"$2,969,737"
GA,Dublin,W H 'Bud' Barron,DBN,PU,,Local,GA,GA,15,25,"$2,659,000"
GA,Eastman,Heart of Georgia Regional,EZM,PU,,Local,GA,GA,0,36,"$2,014,632"
GA,Elberton,Elbert County-Patz Field,EBA,PU,,Local,GA,GA,0,24,"$3,622,246"
GA,Ellijay,Gilmer County,49A,PU,,Basic,GA,GA,0,14,"$10,227,667"
GA,Fitzgerald,Fitzgerald Municipal,FZG,PU,,Local,GA,GA,0,21,"$2,460,053"
GA,Fort Stewart(Hinesville),Wright AAF (Fort Stewart)/Midcoast Regional,LHW,MR,,Local,GA,GA,0,22,"$12,129,205"
GA,Gainesville,Lee Gilmer Memorial,GVL,PU,,Regional,GA,GA,21,138,"$4,065,188"
GA,Greensboro,Greene County Regional,3J7,PU,,Local,GA,GA,8,17,"$3,231,579"
GA,Griffin,Griffin-Spalding County,6A2,PU,,Regional,GA,GA,0,99,"$1,200,789"
GA,Hazlehurst,Hazlehurst,AZE,PU,,Local,GA,GA,0,29,"$3,462,632"
GA,Homerville,Homerville,HOE,PU,,Unclassified,GA,GA,0,1,$0
GA,Jasper,Pickens County,JZP,PU,,Local,GA,GA,0,59,"$8,760,000"
GA,Jefferson,Jackson County,JCA,PU,,Local,GA,,0,0,"$7,718,500"
GA,Jekyll Island,Jekyll Island,09J,PU,,Unclassified,GA,GA,0,3,$0
GA,Jesup,Jesup-Wayne County,JES,PU,,Basic,GA,GA,0,14,"$4,839,500"
GA,La Fayette,Barwick Lafayette,9A5,PU,,Local,GA,GA,0,40,"$3,500,000"
GA,La Grange,La Grange-Callaway,LGC,PU,,Regional,GA,GA,0,59,"$11,488,451"
GA,Lawrenceville,Gwinnett County-Briscoe Field,LZU,PU,,National,R,R,5,216,"$11,325,000"
GA,Louisville,Louisville Municipal,2J3,PU,,Basic,GA,GA,0,11,"$936,842"
GA,Macon,Macon Downtown,MAC,PU,,Local,GA,GA,0,32,"$2,536,400"
GA,Macon,Middle Georgia Regional,MCN,PU,,Regional,GA,GA,"1,837",80,"$33,400,000"
GA,Madison,Madison Municipal,52A,PU,,Local,GA,GA,0,18,"$6,621,054"
GA,McRae,Telfair-Wheeler,MQW,PU,,Basic,GA,GA,0,11,"$5,225,000"
GA,Metter,Metter Municipal,MHP,PU,,Local,GA,GA,0,20,"$5,407,000"
GA,Milledgeville,Baldwin County,MLJ,PU,,Regional,GA,GA,0,24,"$3,816,980"
GA,Millen,Millen,2J5,PU,,Unclassified,GA,GA,0,0,$0
GA,Monroe,Monroe-Walton County,D73,PU,,Local,GA,GA,0,32,"$6,290,168"
GA,Montezuma,Dr C P Savage Sr.,53A,PU,,Basic,GA,GA,0,11,"$7,505,000"
GA,Moultrie,Moultrie Municipal,MGR,PU,,Local,GA,GA,0,30,"$2,194,738"
GA,Nahunta,Brantley County,4J1,PU,,Unclassified,GA,GA,0,0,$0
GA,Nashville,Berrien County,4J2,PU,,Basic,GA,GA,0,12,"$1,491,000"
GA,Perry,Perry-Houston County,PXE,PU,,Local,GA,GA,0,71,"$1,951,667"
GA,Pine Mountain,Harris County,PIM,PU,,Local,GA,GA,0,15,"$2,661,667"
GA,Quitman,Quitman Brooks County,4J5,PU,,Local,GA,GA,0,17,"$2,665,000"
GA,Reidsville,Swinton Smith Field at Reidsville Municipal,RVJ,PU,,Basic,GA,GA,0,11,"$1,829,122"
GA,Rome,Richard B Russell Regional-J H Towers Field,RMG,PU,,Regional,GA,GA,0,71,"$8,467,106"
GA,Sandersville,Kaolin Field,OKZ,PU,,Local,GA,GA,0,16,"$2,907,000"
GA,Savannah,Savannah/Hilton Head International,SAV,PU,S,,P,P,"932,416",126,"$19,742,334"
GA,St Marys,New,+07H,PU,,,,GA,0,0,"$8,888,889"
GA,St Marys,St Marys,4J6,PU,,Local,GA,GA,0,16,"$4,088,000"
GA,Statesboro,Statesboro-Bulloch County,TBR,PU,,Local,GA,GA,0,64,"$3,658,335"
GA,Swainsboro,East Georgia Regional,SBO,PU,,Basic,GA,GA,0,13,"$6,641,000"
GA,Sylvania,Plantation Airpark,JYL,PU,,Local,GA,GA,0,35,"$3,610,750"
GA,Sylvester,Sylvester,SYV,PU,,Unclassified,GA,GA,0,2,$0
GA,Thomaston,Thomaston-Upson County,OPN,PU,,Local,GA,GA,0,88,"$4,575,002"
